id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0YBtCPTNX4gKhZhbRXTo9P,0.748,0.849,-3.532,0.0565,0.012,0.0,0.199,0.345,119.925,254227
4UwtMoKBvYi0mMbH2ZI3uB,0.496,0.785,-3.472,0.306,0.0328,0.0,0.0941,0.357,170.02,318360
1zLLSrBpqqNlSgmcflxP4h,0.639,0.805,-5.927,0.261,0.00609,0.0,0.246,0.648,83.054,246960
6uBPqwjDecU3ZXLi00bUq9,0.602,0.71,-5.882,0.0966,0.00844,0.0,0.285,0.292,75.096,312467
12CKIXP0bEGb1GKNAu7CZk,0.507,0.908,-4.48,0.223,0.00752,0.0,0.333,0.597,76.231,300173
7cLJKvlpzeo3o1u3oqWzvQ,0.375,0.862,-3.363,0.255,0.071,0.0,0.211,0.478,159.841,338853
1w2lHasjKWxkmZxeLAzObf,0.68,0.687,-6.162,0.0709,0.0161,0.0,0.261,0.467,150.053,249533
7rtxRALKSj2BS5sbVDAsfK,0.417,0.743,-5.607,0.249,0.000522,0.0,0.476,0.423,159.193,296667
0KC3pA3FuHWEeHdhLVHHVs,0.58,0.817,-5.009,0.214,0.00163,0.0,0.118,0.238,89.008,327667
2wWCFvTgAiZ2qYVT759FuV,0.713,0.746,-4.99,0.259,0.0402,0.0,0.601,0.47,135.021,299747
3dzVjwtxkyVVcNoRthrRut,0.572,0.734,-7.32,0.0991,0.022,0.0,0.954,0.296,149.942,126164
4zM3cD247FQIO9kE91gJk5,0.718,0.786,-6.515,0.133,0.457,0.0,0.0431,0.609,81.445,282600
1XTqH3f138xXOwHjdIt5q1,0.77,0.839,-4.784,0.264,0.338,0.0,0.147,0.888,159.969,191060
3RllcLAO0QGXvdrwt5BktK,0.859,0.754,-7.148,0.29,0.301,5.03e-06,0.322,0.684,95.071,335296
0VpTedd0XmzB0O1Eb2kvUR,0.761,0.803,-7.757,0.138,0.0294,0.00103,0.358,0.84,94.122,296373
6enXeBnLnyjfweN6VWcIoh,0.763,0.76,-7.975,0.259,0.0762,0.0,0.26,0.599,87.095,301840
5voKHxbIqgBU7fZMX8Lu0T,0.803,0.757,-3.212,0.0597,0.0175,0.0,0.195,0.623,130.019,350227
3G0yz3DZn3lfraledmBCT0,0.712,0.772,-3.024,0.346,0.0521,4.35e-06,0.0368,0.848,84.722,249480
7iL6o9tox1zgHpKUfh9vuC,0.899,0.713,-2.752,0.366,0.255,0.0,0.0708,0.777,90.051,193467
2d2v4GYvG2SjV2NdjbUY0w,0.777,0.75,-5.7,0.152,0.239,0.0,0.102,0.19,177.916,272293
7s0hsZUXf9nIQrkTg3Da6p,0.455,0.879,-4.35,0.434,0.0665,0.0,0.321,0.691,86.191,223667
